item_nbr,store_nbr,mae,mean_sales,mae_pct,safety_stock,reorder_point,eoq
1464070,1,2.42,4.92,49.2,15,50,300
1464086,1,3.98,6.79,58.6,23,71,352
1464087,1,3.63,4.91,73.9,16,51,299
1464088,1,1.06,2.32,45.5,5,22,206
1464092,1,1.08,2.19,49.3,5,21,200
1464093,1,1.81,2.67,68.0,8,27,221
1464207,1,1.93,3.87,49.7,11,38,266
1464208,1,1.48,2.45,60.3,7,24,211
1464210,1,2.49,4.83,51.5,13,47,297
1464217,1,1.16,2.32,49.8,6,22,206
1464218,1,3.47,4.63,74.9,25,58,291
1464237,1,11.86,22.76,52.1,68,228,645
1464239,1,3.02,4.8,62.9,18,52,296
1464240,1,9.33,15.56,60.0,48,157,533
1464312,1,2.87,5.25,54.7,15,52,310
1473393,1,5.63,32.63,17.3,57,286,772
1473394,1,4.24,21.99,19.3,39,193,633
1473396,1,3.06,5.68,53.8,15,55,322
1473403,1,5.03,18.48,27.2,43,172,581
1473404,1,10.41,44.65,23.3,92,404,903
1473406,1,6.15,24.47,25.1,51,222,668
1473409,1,2.39,5.0,47.9,15,50,302
1473410,1,6.56,41.61,15.8,94,385,871
1473412,1,5.67,16.99,33.4,52,171,557
1473413,1,2.58,6.05,42.6,19,61,332
1473414,1,2.58,6.17,41.8,17,61,336
1473415,1,2.63,4.78,55.0,19,53,295
1473425,1,5.48,13.09,41.8,38,129,489
1473427,1,2.64,7.52,35.1,18,70,370
1473428,1,9.63,41.81,23.0,95,388,873
1473474,1,10.77,92.6,11.6,138,786,1300
1473475,1,5.47,13.49,40.5,38,132,496
1473476,1,4.25,10.46,40.7,33,106,437
1473477,1,2.65,12.55,21.1,26,114,479
1473478,1,10.02,32.1,31.2,72,297,765
1473479,1,17.25,33.25,51.9,110,342,779
1473482,1,6.73,31.44,21.4,61,281,757
1473483,1,1.83,5.81,31.6,13,54,326
1473488,1,2.44,6.53,37.4,14,60,345
1473511,1,4.24,10.31,41.1,22,94,434
1489833,1,3.06,7.28,42.0,19,70,365
1489836,1,4.51,11.25,40.1,29,108,453
1489850,1,2.84,7.53,37.7,21,74,371
1489879,1,4.26,10.87,39.2,25,101,445
1489882,1,6.39,12.55,50.9,31,119,479
1489899,1,2.97,8.48,35.0,16,75,393
1489908,1,5.99,10.07,59.4,34,104,429
1501508,1,10.21,11.73,87.1,40,122,463
1501524,1,4.43,9.83,45.0,24,93,424
1501570,1,4.65,11.46,40.5,28,108,457
1501581,1,2.79,6.1,45.7,16,58,334
1502383,1,4.6,11.11,41.4,33,110,450
1502391,1,4.24,15.29,27.8,35,142,528
1502392,1,11.21,52.48,21.4,118,485,979
1503844,1,26.39,147.25,17.9,229,1260,1639
1503847,1,17.51,51.3,34.1,125,484,968
1503855,1,6.68,15.31,43.6,45,152,529
1503891,1,2.82,8.47,33.3,16,76,393
1503899,1,3.18,6.32,50.3,22,66,340
1584574,1,4.41,10.5,42.0,29,103,438
1584575,1,8.45,27.08,31.2,53,243,703
1584576,1,4.8,15.7,30.6,32,142,535
1585782,1,3.85,8.22,46.9,16,73,387
1625605,1,9.82,36.83,26.7,69,326,820
1642399,1,17.17,61.57,27.9,115,546,1060
1642400,1,8.45,32.08,26.3,54,279,765
1642664,1,2.34,5.75,40.6,17,57,324
1660271,1,4.16,9.88,42.1,27,97,425
1672581,1,3.09,6.26,49.4,20,64,338
1673297,1,4.71,6.77,69.5,23,70,352
1686650,1,2.76,5.16,53.6,18,54,307
1686656,1,7.11,22.93,31.0,41,202,647
1686664,1,5.48,14.82,37.0,30,133,520
1693644,1,3.17,9.28,34.2,22,87,412
1693647,1,3.64,12.9,28.2,28,119,485
1693648,1,5.81,24.08,24.1,72,241,663
1693656,1,7.51,25.22,29.8,57,233,678
1693657,1,6.37,15.47,41.2,37,146,531
